Student_ID,Name,Department,CGPA,Completed_Courses,Password
FA21-BSCS-0001,Student 1,Computer Science,3.42,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSCS-0002,Student 2,Computer Science,3.15,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSCS-0003,Student 3,Computer Science,2.89,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0004,Diya Patel,Software Engineering,3.40,"SE101,CS101,MATH101,SE201,SE202",password123
FA21-BSCS-0005,Vihaan Malhotra,Computer Science,3.51,"CS101,CS102,MATH101,CS201,CS202,CS301,DS210",password123
FA21-BSSE-0006,Ishaan Reddy,Software Engineering,3.92,"SE101,CS101,MATH101,SE201,SE202,SE301,SE302",password123
FA22-BBA-0007,Myra Kumar,Business Administration,3.22,"MGT101,ECO101,MKT101,FIN101,HRM201",password123
FA22-BSPsych-0008,Arjun Joshi,Psychology,3.57,"PSY101,PSY102,STAT101,PSY201,PSY205",password123
FA21-BSCS-0009,Saanvi Mishra,Computer Science,3.07,"CS101,CS102,MATH101,CS201,CS202,DB201",password123
FA21-BSSE-0010,Aditi Desai,Software Engineering,3.68,"SE101,CS101,MATH101,SE201,SE202,SE203",password123
FA22-BBA-0011,Kabir Choudhary,Business Administration,3.35,"MGT101,ECO101,MKT101,FIN101,ECO201,MKT201",password123
FA22-BSPsych-0012,Pari Trivedi,Psychology,3.72,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY302",password123
FA21-BSCS-0013,Yashvardhan Saxena,Computer Science,3.29,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0014,Anvi Agarwal,Software Engineering,3.47,"SE101,CS101,MATH101,SE201,SE202",password123
FA22-BBA-0015,Krish Khanna,Business Administration,3.14,"MGT101,ECO101,MKT101,FIN201,LAW201",password123
FA22-BSPsych-0016,Meera Srinivasan,Psychology,3.61,"PSY101,PSY102,STAT101,PSY201,PSY203",password123
FA21-BSCS-0017,Rudra Iyer,Computer Science,3.84,"CS101,CS102,MATH101,CS201,CS202,CS301,CS302,CS303",password123
FA21-BSSE-0018,Tanvi Bhatia,Software Engineering,3.92,"SE101,CS101,MATH101,SE201,SE202,SE301,SE302",password123
FA22-BBA-0019,Ayaan Kapoor,Business Administration,3.27,"MGT101,ECO101,MKT101,FIN101,INV201",password123
FA22-BSPsych-0020,Siya Menon,Psychology,3.53,"PSY101,PSY102,STAT101,PSY201,PSY204",password123
FA21-BSCS-0021,Vivaan Nair,Computer Science,3.25,"CS101,CS102,MATH101,CS201,CS202,CS203",password123
FA21-BSSE-0022,Amaira Oberoi,Software Engineering,3.41,"SE101,CS101,MATH101,SE201,SE202,SE204",password123
FA22-BBA-0023,Dhruv Mehra,Business Administration,3.18,"MGT101,ECO101,MKT101,FIN101,ECO201,MKT201,DM301",password123
FA22-BSPsych-0024,Kiara Banerjee,Psychology,3.57,"PSY101,PSY102,STAT101,PSY201,PSY202,PSY301,PSY302",password123
FA21-BSCS-0025,Arnav Saxena,Computer Science,3.63,"CS101,CS102,MATH101,CS201,DS110",password123
FA21-BSSE-0026,Ira Chatterjee,Software Engineering,3.79,"SE101,CS101,MATH101,SE201,SE202",password123
FA22-BBA-0027,Advait Sharma,Business Administration,3.22,"MGT101,ECO101,MKT101,FIN201,HRM201",password123
FA22-BSPsych-0028,Anaya Reddy,Psychology,3.44,"PSY101,PSY102,STAT101,PSY201,PSY205,PSY206",password123
FA21-BSCS-0029,Vedant Malhotra,Computer Science,3.51,"CS101,CS102,MATH101,CS201,CS202,CS301,CS302,CS304",password123
FA21-BSSE-0030,Misha Patel,Software Engineering,3.68,"SE101,CS101,MATH101,SE201,SE202,SE301,SE302",password123
FA22-BBA-0031,Rohan Kumar,Business Administration,3.35,"MGT101,ECO101,MKT101,FIN101,BA201",password123
